NYSE: T, 6
NASDAQ: GOOG, 2
NASDAQ: GOOGL, 1
NASDAQ: GO, 2
NYSE: HD, 1
NYSE: H, 1
NYSE: USB, 1
NYSE: C, 5
NYSE: CVS, 3
NYSE: BUD, 1
NYSE: B, 5
NASDAQ: HAS, 1
NASDAQ: HA, 1
NASDAQ: MAT, 1
NASDAQ: CODX, 2
NASDAQ: INO, 2
NASDAQ: AHPI, 1
NASDAQ: LAKE, 1
NASDAQ: WTRH, 2
NASDAQ: Z, 2
NASDAQ: ZM, 2
NYSE: A, 3
NYSE: AP, 2
NYSE: APRN, 2
NYSE: TDOC, 2
NYSE: TD, 2
NASDAQ: AMZN, 1
NYSE: RA, 1
NYSE: RAD, 1
NYSE: R, 1
NASDAQ: WBA, 2
NASDAQ: WB, 2
NASDAQ: COST, 1
NASDAQ: STMP, 1
NASDAQ: JD, 1
NASDAQ: PDD, 2
NYSE: BABA, 2
NYSE: BA, 2
NASDAQ: SSTI, 1
NYSE: VEEV, 1
NYSE: V, 1
NYSE: SJM, 1
NYSE: S, 1
NYSE: CPB, 1
NYSE: CP, 1
NYSE: CLX, 1
NYSE: CL, 1
NYSE: CAG, 1
NYSE: PG, 1
NYSE: TGT, 1
NYSE: TG, 1
NYSE: WMT, 1
NYSE: WM, 1
NYSE: W, 1
NYSE: BIP, 1
NYSE: NEE, 1
NYSE: NE, 1
NYSE: TRV, 1
NYSE: TR, 1
NASDAQ: GH, 1
NYSE: E, 1
NYSE: EPD, 1
NYSE: ABB, 1
NYSE: ABBV, 1
NYSE: AB, 1
NYSE: BMY, 1
