NYSE: D, 1
NYSE: DIS, 1
NASDAQ: ADBE, 1
NYSE: IIPR, 1
NYSE: I, 3
NYSE: IBM, 2
NASDAQ: QCOM, 2
NYSE: V, 2
NYSE: VMW, 2
NYSE: B, 1
NYSE: BMY, 1
NYSE: ABB, 1
NYSE: ABBV, 1
NYSE: A, 2
NYSE: AB, 1
NASDAQ: ALXN, 1
NYSE: AGN, 1
NYSE: AG, 1
NASDAQ: APLS, 1
NASDAQ: FB, 1
NASDAQ: ATVI, 1
NYSE: L, 1
NASDAQ: BYND, 1
NASDAQ: NFLX, 1
NYSE: PINS, 1
NYSE: CGC, 1
NYSE: C, 1
NYSE: S, 2
NYSE: SQ, 1
NASDAQ: TTD, 1
NASDAQ: ETSY, 1
NASDAQ: OKTA, 1
NASDAQ: JD, 1
NASDAQ: SFIX, 1
NYSE: NIO, 1
NYSE: NI, 1
NYSE: SNAP, 1
NYSE: SNA, 1
NASDAQ: SBUX, 1
